nsujet,ecole,age,sexe,niveau,originp,originm,statmar,adulthab,adtemp,tempsep,voipar,rencfois,travp,scolp,travm,scolm,negp1,negp2,negp3,negp4,negp5,negp6,negp7,negp8,negp9,negm1,negm2,negm3,negm4,negm5,negm6,negm7,negm8,negm9,dets1,dets2,dets3,dets4,dets5,dets6,dets7,dets8,dets9,dets10,dets11,dets12,dets13,dets14,deta1,deta2,deta3,deta4,deta5,deta6,deta7,deta8,deta9,deta10,deta11,deta12,deta13,deta14,mus1,mus2,mus3,mus4,mus5,mus6,mus7,mus8,mus9,mus10,mus11,mus12,mus13,mus14,mus15,mus16,mus17,mus18,muspre,mustemp,mushr,nbconc,musinst,muscomp,comphr,parimp,muscol,musheur,musagg,aprheur,aprmal,poster,info,pers,alien1,alien2,alien3,alien4,alien5,alien6,alien7,alien8,alien9,alien10,alien11,alien12,alien13,alien14,alien15,alien16,alien17,alien18,alien19,alien20,alien21,alien22,alien23,alien24,alien25,alien26,alien27,sui1,sui2,sui3,sui4a,sui4b,sui4c,sui4d,sui4e,sui4f,sui5,sui6,sui7,sui8,sui9a,sui9b,sui9c,sui9d,sui9e,sui9f,drog1,drog2,drog3,drog4
179.00,1.00,15.75,2.00,4.00,1.00,1.00,1.00,1.00,15.00,#NULL!,#NULL!,#NULL!,1.00,5.00,2.00,5.00,4.00,3.00,3.00,2.00,4.00,3.00,3.00,4.00,2.00,4.00,4.00,4.00,3.00,4.00,4.00,3.00,4.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,2.00,1.00,1.00,2.00,2.00,3.00,4.00,1.00,1.00,3.00,1.00,2.00,5.00,1.00,2.00,2.00,3.00,3.00,4.00,1.00,5.00,#NULL!,1.00,1.00,0.00,1.00,1.00,3.00,4.00,1.00,4.00,2.00,4.00,1.00,1.00,3.00,1.00,1.00,1.00,6.00,5.00,5.00,2.00,1.00,1.00,2.00,4.00,6.00,1.00,3.00,5.00,1.00,5.00,5.00,5.00,4.00,4.00,2.00,5.00,1.00,2.00,6.00,1.00,1.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00
180.00,1.00,16.42,2.00,4.00,1.00,1.00,1.00,1.00,16.00,#NULL!,#NULL!,#NULL!,1.00,2.00,1.00,#NULL!,2.00,3.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,5.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,4.00,2.00,3.00,2.00,1.00,3.00,1.00,5.00,1.00,5.00,16.00,1.25,4.00,1.00,2.00,2.00,0.00,3.00,2.00,3.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,5.00,6.00,5.00,6.00,2.00,1.00,3.00,1.00,5.00,1.00,2.00,5.00,2.00,5.00,5.00,5.00,3.00,1.00,1.00,6.00,1.00,2.00,5.00,1.00,5.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,4.00,1.00,1.00,1.00
181.00,1.00,16.25,2.00,4.00,1.00,1.00,1.00,1.00,16.00,#NULL!,#NULL!,#NULL!,1.00,5.00,1.00,5.00,2.00,4.00,2.00,2.00,4.00,3.00,2.00,4.00,2.00,3.00,4.00,4.00,3.00,4.00,4.00,3.00,4.00,3.00,3.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,2.00,0.00,2.00,1.00,1.00,2.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,4.00,4.00,3.00,2.00,1.00,2.00,2.00,5.00,3.00,1.00,3.00,1.00,2.00,1.00,5.00,1.00,5.00,9.00,4.17,5.00,2.00,1.00,1.00,8.50,4.00,2.00,2.00,3.00,3.00,2.00,3.00,3.00,4.00,3.00,2.00,3.00,2.00,5.00,5.00,1.00,5.00,3.00,2.00,2.00,4.00,3.00,2.00,5.00,3.00,6.00,4.00,2.00,5.00,5.00,4.00,5.00,3.00,3.00,2.00,1.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,4.00,3.00,1.00,1.00
182.00,1.00,16.25,1.00,4.00,1.00,1.00,1.00,1.00,16.00,#NULL!,#NULL!,#NULL!,1.00,6.00,1.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,4.00,4.00,4.00,3.00,4.00,4.00,3.00,3.00,3.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,2.00,1.00,0.00,1.00,1.00,1.00,2.00,3.00,1.00,1.00,2.00,1.00,1.00,1.00,4.00,1.00,4.00,1.00,1.00,5.00,3.00,1.00,5.00,5.00,1.00,5.00,15.00,1.00,10.00,0.00,2.00,2.00,0.00,4.00,1.00,3.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,2.00,4.00,6.00,6.00,5.00,1.00,1.00,1.00,3.00,6.00,1.00,6.00,4.00,2.00,2.00,5.00,4.00,2.00,3.00,1.00,6.00,1.00,1.00,4.00,1.00,2.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,1.00,1.00,1.00
183.00,1.00,15.75,1.00,4.00,1.00,1.00,1.00,1.00,15.00,#NULL!,#NULL!,#NULL!,1.00,6.00,1.00,6.00,4.00,4.00,3.00,3.00,4.00,4.00,2.00,3.00,4.00,4.00,4.00,3.00,3.00,4.00,3.00,2.00,3.00,4.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,3.00,5.00,4.00,1.00,1.00,1.00,2.00,3.00,5.00,3.00,1.00,1.00,2.00,4.00,4.00,2.00,3.00,10.00,3.00,10.00,3.00,1.00,1.00,5.00,4.00,3.00,4.00,4.00,4.00,2.00,2.00,3.00,4.00,2.00,1.00,2.00,6.00,6.00,6.00,4.00,2.00,3.00,2.00,6.00,2.00,1.00,3.00,1.00,5.00,6.00,5.00,4.00,2.00,1.00,6.00,1.00,1.00,5.00,4.00,3.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,5.00,5.00,1.00,3.00
184.00,1.00,15.83,2.00,4.00,1.00,1.00,1.00,1.00,15.00,#NULL!,#NULL!,#NULL!,1.00,5.00,1.00,6.00,3.00,4.00,4.00,2.00,4.00,3.00,2.00,4.00,3.00,3.00,4.00,2.00,2.00,4.00,3.00,3.00,4.00,4.00,3.00,1.00,3.00,3.00,1.00,0.00,3.00,3.00,3.00,1.00,2.00,0.00,0.00,0.00,2.00,1.00,1.00,3.00,1.00,0.00,2.00,1.00,2.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,3.00,4.00,2.00,1.00,3.00,4.00,1.00,2.00,4.00,1.00,5.00,18.00,#NULL!,1.50,0.00,2.00,2.00,0.00,4.00,1.00,4.00,1.00,4.00,1.00,4.00,4.00,1.00,4.00,5.00,3.00,1.00,4.00,2.00,1.00,5.00,1.00,4.00,3.00,6.00,6.00,4.00,2.00,4.00,5.00,1.00,3.00,6.00,1.00,4.00,1.00,1.00,5.00,1.00,5.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,4.00,1.00,1.00,1.00
185.00,1.00,15.67,2.00,4.00,1.00,1.00,1.00,1.00,15.00,#NULL!,#NULL!,#NULL!,1.00,5.00,1.00,6.00,4.00,3.00,3.00,2.00,3.00,3.00,2.00,2.00,3.00,4.00,3.00,3.00,3.00,4.00,3.00,3.00,3.00,3.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,0.00,1.00,2.00,1.00,1.00,4.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,4.00,2.00,3.00,4.00,1.00,1.00,2.00,5.00,2.00,4.00,16.00,3.17,3.00,1.00,1.00,1.00,5.00,3.00,2.00,3.00,3.00,3.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,4.00,5.00,2.00,2.00,2.00,4.00,5.00,2.00,4.00,1.00,4.00,5.00,5.00,5.00,3.00,4.00,2.00,5.00,2.00,2.00,5.00,4.00,2.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,5.00,1.00,1.00,1.00
186.00,1.00,16.17,2.00,4.00,1.00,1.00,1.00,1.00,16.00,#NULL!,#NULL!,#NULL!,1.00,3.00,1.00,3.00,3.00,3.00,4.00,2.00,3.00,4.00,2.00,4.00,4.00,4.00,3.00,4.00,3.00,1.00,4.00,3.00,4.00,4.00,2.00,1.00,1.00,1.00,3.00,1.00,2.00,1.00,1.00,0.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,3.00,1.00,2.00,1.00,1.00,0.00,2.00,3.00,3.00,3.00,3.00,2.00,1.00,1.00,2.00,2.00,4.00,3.00,2.00,1.00,2.00,5.00,2.00,5.00,3.00,4.00,2.00,4.00,12.00,#NULL!,2.00,1.00,2.00,2.00,0.00,2.00,1.00,4.00,4.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,6.00,5.00,6.00,6.00,1.00,4.00,6.00,6.00,5.00,1.00,6.00,5.00,5.00,6.00,5.00,5.00,5.00,5.00,1.00,5.00,1.00,2.00,6.00,2.00,5.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,4.00,2.00,1.00,1.00
187.00,1.00,16.33,2.00,4.00,1.00,1.00,1.00,1.00,16.00,#NULL!,#NULL!,#NULL!,1.00,1.00,1.00,3.00,3.00,3.00,2.00,2.00,3.00,3.00,3.00,2.00,1.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,1.00,0.00,1.00,1.00,2.00,2.00,2.00,0.00,0.00,0.00,1.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,3.00,3.00,3.00,1.00,1.00,1.00,2.00,3.00,2.00,2.00,3.00,2.00,1.00,1.00,2.00,1.00,2.00,3.00,3.00,2.00,1.00,5.00,2.00,2.00,4.00,3.00,2.00,3.00,12.00,3.00,20.00,3.00,1.00,1.00,15.00,4.00,2.00,4.00,3.00,4.00,1.00,1.00,4.00,4.00,2.00,2.00,4.00,5.00,6.00,6.00,3.00,4.00,4.00,3.00,4.00,1.00,3.00,1.00,2.00,2.00,4.00,1.00,1.00,5.00,1.00,6.00,1.00,2.00,2.00,2.00,3.00,1.00,1.00,3.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,5.00,3.00,1.00,3.00
188.00,1.00,16.08,2.00,4.00,1.00,1.00,1.00,1.00,16.00,#NULL!,#NULL!,#NULL!,2.00,3.00,2.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,#NULL!,3.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,#NULL!,3.00,3.00,0.00,1.00,1.00,0.00,3.00,1.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,3.00,1.00,1.00,0.00,0.00,0.00,3.00,1.00,1.00,1.00,3.00,2.00,2.00,3.00,1.00,1.00,2.00,1.00,2.00,3.00,2.00,3.00,4.00,3.00,2.00,4.00,2.00,4.00,18.00,2.00,15.00,0.00,2.00,2.00,0.00,3.00,2.00,4.00,1.00,3.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,3.00,4.00,1.00,1.00,5.00,3.00,3.00,6.00,3.00,4.00,5.00,5.00,4.00,5.00,5.00,4.00,4.00,2.00,4.00,3.00,2.00,5.00,1.00,3.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00
189.00,1.00,16.33,1.00,4.00,4.00,4.00,1.00,1.00,16.00,#NULL!,#NULL!,#NULL!,4.00,1.00,4.00,1.00,4.00,4.00,3.00,2.00,4.00,4.00,2.00,4.00,3.00,4.00,4.00,3.00,4.00,4.00,4.00,3.00,3.00,3.00,1.00,0.00,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.00,#NULL!,1.00,#NULL!,#NULL!,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,#NULL!,1.00,#NULL!,4.00,1.00,3.00,3.00,1.00,1.00,5.00,1.00,4.00,3.00,1.00,5.00,4.00,3.00,5.00,3.00,2.00,5.00,12.00,#NULL!,14.00,0.00,1.00,2.00,2.50,3.00,2.00,3.00,2.00,3.00,1.00,1.00,2.00,1.00,2.00,2.00,4.00,1.00,6.00,2.00,1.00,1.00,1.00,1.00,6.00,1.00,5.00,5.00,3.00,5.00,5.00,3.00,5.00,3.00,2.00,5.00,1.00,2.00,5.00,1.00,2.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00
190.00,1.00,15.50,2.00,4.00,1.00,1.00,3.00,6.00,2.00,11.00,1.00,24.00,1.00,4.00,1.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,4.00,3.00,3.00,2.00,3.00,3.00,1.00,2.00,2.00,3.00,2.00,4.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,2.00,3.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,0.00,1.00,1.00,2.00,3.00,1.00,1.00,3.00,2.00,1.00,1.00,1.00,2.00,5.00,1.00,3.00,1.00,2.00,5.00,3.00,3.00,5.00,2.00,1.00,4.00,12.00,0.50,20.00,2.00,1.00,2.00,2.00,3.00,2.00,3.00,4.00,4.00,1.00,2.00,3.00,3.00,3.00,4.00,5.00,6.00,5.00,6.00,3.00,2.00,4.00,4.00,5.00,3.00,4.00,2.00,6.00,2.00,5.00,2.00,1.00,4.00,1.00,6.00,1.00,2.00,3.00,4.00,5.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,4.00,3.00,1.00,1.00
191.00,1.00,16.42,2.00,4.00,1.00,1.00,1.00,1.00,16.00,#NULL!,#NULL!,#NULL!,1.00,#NULL!,2.00,5.00,3.00,3.00,4.00,2.00,3.00,3.00,1.00,3.00,3.00,4.00,4.00,3.00,3.00,4.00,4.00,3.00,4.00,3.00,0.00,1.00,0.00,1.00,0.00,1.00,2.00,1.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,3.00,4.00,2.00,1.00,2.00,2.00,4.00,4.00,3.00,4.00,4.00,2.00,2.00,5.00,3.00,5.00,18.00,4.00,#NULL!,0.00,2.00,2.00,0.00,3.00,2.00,3.00,3.00,3.00,1.00,1.00,2.00,1.00,1.00,2.00,5.00,4.00,6.00,6.00,4.00,2.00,2.00,2.00,5.00,1.00,3.00,2.00,6.00,5.00,5.00,5.00,5.00,6.00,2.00,2.00,1.00,1.00,5.00,1.00,3.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,1.00,1.00,1.00
192.00,1.00,16.42,1.00,4.00,1.00,1.00,1.00,1.00,16.00,#NULL!,#NULL!,#NULL!,1.00,3.00,1.00,6.00,4.00,4.00,2.00,1.00,4.00,2.00,1.00,1.00,1.00,4.00,4.00,3.00,3.00,4.00,3.00,2.00,3.00,3.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,2.00,0.00,0.00,1.00,3.00,3.00,1.00,3.00,2.00,1.00,3.00,3.00,0.00,2.00,3.00,1.00,2.00,2.00,1.00,1.00,5.00,3.00,2.00,1.00,1.00,1.00,4.00,5.00,4.00,1.00,#NULL!,2.00,3.00,4.00,1.00,4.00,10.00,6.00,8.00,2.00,2.00,2.00,0.00,4.00,1.00,2.00,2.00,3.00,1.00,1.00,2.00,2.00,6.00,4.00,4.00,6.00,5.00,5.00,2.00,4.00,1.00,2.00,4.00,4.00,2.00,5.00,2.00,4.00,5.00,5.00,4.00,5.00,1.00,6.00,1.00,1.00,4.00,2.00,4.00,1.00,1.00,4.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,5.00,5.00,1.00,2.00
193.00,1.00,16.08,#NULL!,4.00,1.00,1.00,3.00,6.00,2.00,3.00,1.00,78.00,1.00,6.00,1.00,6.00,4.00,3.00,4.00,3.00,4.00,4.00,4.00,3.00,2.00,4.00,3.00,3.00,2.00,4.00,3.00,3.00,2.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,4.00,1.00,2.00,3.00,1.00,1.00,5.00,1.00,3.00,1.00,1.00,5.00,3.00,1.00,4.00,4.00,1.00,2.00,12.00,5.00,2.00,0.00,2.00,2.00,0.00,4.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,4.00,6.00,5.00,5.00,3.00,1.00,2.00,1.00,6.00,1.00,1.00,3.00,1.00,5.00,5.00,6.00,2.00,4.00,1.00,6.00,1.00,1.00,5.00,2.00,4.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,5.00,4.00,1.00,1.00
194.00,1.00,15.58,2.00,4.00,5.00,5.00,3.00,2.00,15.00,12.00,2.00,#NULL!,2.00,#NULL!,1.00,5.00,4.00,4.00,3.00,3.00,4.00,4.00,4.00,3.00,4.00,4.00,3.00,4.00,2.00,4.00,4.00,2.00,3.00,4.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,2.00,1.00,1.00,3.00,1.00,1.00,5.00,1.00,#NULL!,2.00,2.00,5.00,3.00,1.00,4.00,1.00,1.00,1.00,12.00,9.00,10.00,2.00,1.00,2.00,7.00,3.00,1.00,3.00,2.00,4.00,1.00,2.00,3.00,1.00,3.00,1.00,6.00,4.00,4.00,4.00,1.00,1.00,2.00,2.00,6.00,1.00,2.00,3.00,5.00,5.00,4.00,6.00,3.00,4.00,2.00,6.00,1.00,2.00,6.00,1.00,2.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,1.00,1.00,1.00
195.00,1.00,15.83,2.00,4.00,1.00,6.00,1.00,1.00,15.00,#NULL!,#NULL!,#NULL!,1.00,3.00,1.00,5.00,4.00,4.00,4.00,2.00,3.00,4.00,3.00,4.00,3.00,4.00,4.00,4.00,4.00,2.00,4.00,4.00,3.00,2.00,2.00,3.00,0.00,2.00,3.00,0.00,3.00,1.00,0.00,0.00,1.00,2.00,3.00,3.00,1.00,2.00,0.00,2.00,3.00,0.00,1.00,1.00,0.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,4.00,1.00,1.00,1.00,4.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,3.00,10.00,15.17,5.00,0.00,2.00,2.00,0.50,4.00,1.00,4.00,2.00,3.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,6.00,6.00,6.00,6.00,2.00,1.00,5.00,3.00,2.00,4.00,1.00,2.00,6.00,5.00,4.00,6.00,5.00,1.00,6.00,2.00,1.00,6.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,#NULL!,3.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00
196.00,1.00,16.25,#NULL!,4.00,1.00,1.00,1.00,1.00,16.00,#NULL!,#NULL!,#NULL!,1.00,2.00,1.00,6.00,4.00,4.00,2.00,3.00,4.00,3.00,3.00,3.00,2.00,4.00,4.00,3.00,4.00,4.00,4.00,3.00,3.00,4.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,3.00,1.00,1.00,4.00,2.00,1.00,1.00,1.00,4.00,1.00,1.00,4.00,2.00,1.00,1.00,12.00,2.00,1.50,0.00,2.00,2.00,0.00,3.00,1.00,2.00,1.00,2.00,1.00,1.00,2.00,1.00,1.00,3.00,1.00,5.00,5.00,3.00,3.00,2.00,2.00,3.00,4.00,1.00,2.00,1.00,2.00,4.00,5.00,4.00,1.00,3.00,1.00,5.00,1.00,1.00,4.00,2.00,1.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,5.00,1.00,1.00
197.00,1.00,16.08,2.00,4.00,1.00,1.00,1.00,1.00,16.00,#NULL!,#NULL!,#NULL!,1.00,4.00,4.00,#NULL!,4.00,4.00,4.00,2.00,4.00,3.00,1.00,4.00,3.00,4.00,4.00,4.00,3.00,4.00,4.00,2.00,3.00,3.00,1.00,0.00,1.00,2.00,#NULL!,1.00,2.00,1.00,1.00,0.00,2.00,2.00,1.00,0.00,2.00,1.00,2.00,1.00,#NULL!,2.00,1.00,1.00,2.00,1.00,2.00,2.00,1.00,0.00,5.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,2.00,1.00,1.00,4.00,5.00,1.00,3.00,3.00,1.00,4.00,1.00,4.00,6.00,1.00,1.00,2.00,0.00,2.00,1.00,3.00,2.00,3.00,1.00,2.00,4.00,2.00,1.00,2.00,2.00,2.00,5.00,6.00,2.00,3.00,4.00,3.00,5.00,2.00,4.00,5.00,5.00,5.00,6.00,6.00,5.00,3.00,2.00,6.00,3.00,2.00,5.00,2.00,6.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,4.00,3.00,#NULL!,#NULL!
198.00,1.00,18.50,2.00,6.00,8.00,8.00,1.00,1.00,18.00,#NULL!,#NULL!,#NULL!,1.00,5.00,4.00,#NULL!,3.00,3.00,2.00,3.00,3.00,4.00,3.00,4.00,1.00,2.00,3.00,2.00,3.00,3.00,4.00,3.00,4.00,4.00,2.00,3.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00,3.00,2.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,3.00,2.00,1.00,2.00,5.00,2.00,2.00,4.00,1.00,2.00,4.00,2.00,2.00,2.00,3.00,2.00,7.00,3.00,3.00,13.00,1.00,1.00,5.00,3.00,4.00,1.00,4.00,4.00,1.00,1.00,2.00,1.00,1.00,1.00,6.00,1.00,4.00,1.00,4.00,1.00,3.00,2.00,4.00,1.00,2.00,3.00,3.00,2.00,4.00,5.00,3.00,1.00,2.00,3.00,3.00,2.00,3.00,3.00,6.00,2.00,2.00,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,2.00,2.00,2.00,2.00,2.00,2.00,2.00,#NULL!,#NULL!,#NULL!,#NULL!
199.00,1.00,19.42,1.00,6.00,1.00,1.00,3.00,2.00,19.00,16.00,1.00,12.00,1.00,6.00,3.00,6.00,2.00,3.00,2.00,2.00,4.00,1.00,2.00,1.00,2.00,4.00,3.00,4.00,3.00,4.00,4.00,3.00,4.00,4.00,3.00,1.00,0.00,3.00,2.00,3.00,1.00,3.00,0.00,3.00,3.00,1.00,1.00,2.00,2.00,1.00,0.00,3.00,3.00,2.00,2.00,2.00,0.00,2.00,2.00,2.00,1.00,2.00,3.00,5.00,1.00,2.00,3.00,1.00,1.00,5.00,5.00,4.00,4.00,3.00,2.00,3.00,3.00,5.00,2.00,3.00,16.00,4.00,#NULL!,1.00,2.00,2.00,0.00,4.00,4.00,4.00,4.00,4.00,1.00,1.00,1.00,3.00,4.00,4.00,1.00,6.00,2.00,1.00,2.00,5.00,3.00,2.00,4.00,1.00,#NULL!,4.00,4.00,4.00,4.00,5.00,4.00,4.00,3.00,2.00,1.00,2.00,6.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,#NULL!,2.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,3.00,4.00,1.00,2.00
200.00,1.00,17.92,1.00,6.00,1.00,1.00,1.00,1.00,17.00,#NULL!,#NULL!,#NULL!,1.00,5.00,4.00,3.00,3.00,3.00,1.00,2.00,4.00,3.00,1.00,3.00,2.00,3.00,4.00,3.00,4.00,4.00,3.00,3.00,4.00,4.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,4.00,1.00,5.00,5.00,1.00,1.00,3.00,#NULL!,5.00,18.00,4.00,2.50,1.00,2.00,2.00,0.00,3.00,2.00,4.00,3.00,4.00,1.00,3.00,3.00,2.00,2.00,3.00,1.00,6.00,5.00,4.00,1.00,1.00,2.00,3.00,6.00,1.00,1.00,5.00,1.00,5.00,6.00,5.00,6.00,2.00,1.00,5.00,1.00,1.00,5.00,1.00,2.00,1.00,1.00,4.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,3.00,1.00,1.00,1.00
